"RealizationOfRec" "Verb" "AnimacyOfRec" "AnimacyOfTheme" "LengthOfTheme"
"53" "NP" "cost" "animate" "inanimate" 1.0986123
"54" "NP" "offer" "animate" "inanimate" 1.6094379
"55" "NP" "give" "animate" "inanimate" 2.3025851
"56" "NP" "give" "animate" "inanimate" 2.1972246
"57" "NP" "give" "animate" "inanimate" 0.6931472
"58" "NP" "give" "animate" "animate" 1.0986123
"59" "NP" "give" "animate" "inanimate" 2.3978953
"60" "NP" "send" "animate" "inanimate" 2.3025851
"61" "NP" "pay" "animate" "inanimate" 2.0794415
"62" "NP" "give" "animate" "inanimate" 2.5649494
"63" "NP" "owe" "animate" "inanimate" 1.9459101
"64" "NP" "loan" "animate" "inanimate" 0.6931472
"65" "NP" "award" "animate" "inanimate" 1.0986123
"66" "NP" "give" "animate" "inanimate" 2.4849066
"67" "NP" "give" "inanimate" "inanimate" 1.6094379
"68" "NP" "give" "animate" "inanimate" 3.4657359
"69" "NP" "give" "animate" "inanimate" 2.4849066
"70" "NP" "give" "animate" "inanimate" 1.9459101
"71" "NP" "pay" "inanimate" "inanimate" 0.6931472
"72" "NP" "pay" "animate" "inanimate" 1.7917595
"73" "NP" "give" "animate" "inanimate" 1.7917595
"74" "NP" "give" "inanimate" "inanimate" 1.0986123
"75" "NP" "give" "animate" "inanimate" 2.8332133
"76" "NP" "give" "animate" "inanimate" 1.0986123
"77" "NP" "give" "animate" "inanimate" 2.7080502
"78" "NP" "give" "animate" "inanimate" 2.3025851
"79" "NP" "award" "animate" "inanimate" 2.1972246
"80" "NP" "owe" "animate" "inanimate" 2.4849066
"81" "NP" "do" "animate" "inanimate" 0.6931472
"82" "NP" "do" "animate" "inanimate" 1.0986123
"83" "NP" "allow" "animate" "inanimate" 1.7917595
"84" "NP" "give" "animate" "inanimate" 1.0986123
"85" "NP" "offer" "animate" "inanimate" 1.3862944
"86" "NP" "give" "animate" "inanimate" 1.0986123
"87" "NP" "give" "animate" "inanimate" 0.6931472
"88" "NP" "give" "animate" "inanimate" 2.0794415
"89" "NP" "send" "animate" "inanimate" 3.0445224
"90" "NP" "cost" "animate" "inanimate" 1.6094379
"91" "NP" "give" "animate" "inanimate" 2.0794415
"92" "NP" "pay" "animate" "inanimate" 0.6931472
"93" "NP" "give" "animate" "inanimate" 0.6931472
"94" "NP" "give" "animate" "inanimate" 2.0794415
"95" "NP" "give" "animate" "inanimate" 1.0986123
"96" "NP" "give" "animate" "inanimate" 3.1780538
"97" "NP" "give" "animate" "inanimate" 1.7917595
"98" "NP" "give" "animate" "inanimate" 1.0986123
"99" "NP" "give" "animate" "inanimate" 2.3978953
"100" "NP" "give" "animate" "animate" 2.8903718
"101" "NP" "teach" "animate" "inanimate" 1.6094379
"102" "NP" "bet" "animate" "inanimate" 0
"103" "NP" "tell" "animate" "inanimate" 0
"104" "NP" "give" "animate" "inanimate" 1.6094379
"105" "NP" "tell" "animate" "inanimate" 1.3862944
"106" "NP" "grant" "animate" "inanimate" 2.6390573
"107" "NP" "give" "animate" "inanimate" 0.6931472
"108" "NP" "give" "animate" "inanimate" 2.3025851
"109" "NP" "offer" "animate" "inanimate" 2.3978953
"110" "NP" "deliver" "animate" "inanimate" 1.7917595
"111" "NP" "give" "animate" "inanimate" 0.6931472
"112" "NP" "give" "animate" "inanimate" 0.6931472
"113" "NP" "give" "animate" "inanimate" 1.9459101
"114" "NP" "give" "animate" "inanimate" 2.3978953
"115" "NP" "cost" "animate" "inanimate" 0.6931472
"116" "NP" "give" "animate" "inanimate" 2.6390573
"117" "NP" "pay" "animate" "inanimate" 1.9459101
"118" "NP" "pay" "animate" "inanimate" 0.6931472
"119" "NP" "give" "inanimate" "inanimate" 1.0986123
"120" "NP" "give" "animate" "inanimate" 1.6094379
"121" "NP" "pay" "animate" "inanimate" 1.6094379
"122" "NP" "cost" "animate" "inanimate" 1.3862944
"123" "NP" "pay" "animate" "inanimate" 3.4965076
"124" "NP" "give" "animate" "inanimate" 1.6094379
"125" "NP" "lend" "animate" "inanimate" 0.6931472
"126" "NP" "give" "animate" "inanimate" 2.0794415
"127" "NP" "give" "animate" "inanimate" 2.5649494
"128" "NP" "give" "animate" "inanimate" 1.9459101
"129" "NP" "give" "animate" "inanimate" 1.6094379
"130" "NP" "cost" "animate" "inanimate" 2.3025851
"131" "NP" "give" "animate" "inanimate" 1.7917595
"132" "NP" "give" "inanimate" "inanimate" 3.6375862
"133" "NP" "allow" "animate" "inanimate" 2.8332133
"134" "NP" "give" "animate" "inanimate" 0.6931472
"135" "NP" "give" "inanimate" "inanimate" 1.6094379
"136" "NP" "leave" "animate" "inanimate" 1.9459101
"137" "NP" "give" "animate" "inanimate" 1.7917595
"138" "NP" "give" "animate" "inanimate" 1.7917595
"139" "NP" "give" "animate" "inanimate" 2.944439
"140" "NP" "extend" "animate" "inanimate" 2.944439
"141" "NP" "offer" "animate" "inanimate" 1.6094379
"142" "NP" "give" "animate" "inanimate" 1.6094379
"143" "NP" "give" "inanimate" "animate" 2.6390573
"144" "NP" "give" "animate" "inanimate" 0.6931472
"145" "NP" "give" "animate" "inanimate" 2.4849066
"146" "NP" "promise" "animate" "inanimate" 0.6931472
"147" "NP" "leave" "animate" "inanimate" 1.3862944
"148" "NP" "give" "animate" "inanimate" 1.0986123
"149" "NP" "grant" "animate" "inanimate" 2.1972246
"150" "NP" "give" "animate" "inanimate" 0.6931472
"151" "NP" "give" "animate" "inanimate" 0.6931472
"152" "NP" "give" "animate" "inanimate" 2.3978953
"153" "NP" "cost" "animate" "inanimate" 0.6931472
"154" "NP" "give" "animate" "inanimate" 2.1972246
"155" "NP" "give" "animate" "inanimate" 2.3025851
"156" "NP" "give" "animate" "inanimate" 0.6931472
"157" "NP" "tell" "animate" "inanimate" 0
"158" "NP" "give" "inanimate" "inanimate" 0
"159" "NP" "offer" "animate" "inanimate" 1.3862944
"160" "NP" "cost" "animate" "inanimate" 1.3862944
"161" "NP" "give" "inanimate" "inanimate" 2.8332133
"162" "NP" "give" "inanimate" "inanimate" 0.6931472
"163" "NP" "give" "inanimate" "inanimate" 1.6094379
"164" "NP" "award" "animate" "inanimate" 2.5649494
"165" "NP" "give" "animate" "inanimate" 3.2958369
"166" "NP" "give" "animate" "inanimate" 1.3862944
"167" "NP" "offer" "animate" "inanimate" 1.7917595
"168" "NP" "extend" "animate" "inanimate" 1.0986123
"169" "NP" "give" "animate" "inanimate" 2.0794415
"170" "NP" "guarantee" "animate" "inanimate" 1.7917595
"171" "NP" "give" "animate" "inanimate" 2.3978953
"172" "NP" "give" "animate" "inanimate" 0
"173" "NP" "give" "animate" "inanimate" 1.6094379
"174" "NP" "give" "animate" "inanimate" 1.9459101
"175" "NP" "lend" "animate" "inanimate" 0.6931472
"176" "NP" "owe" "animate" "inanimate" 1.0986123
"177" "NP" "give" "animate" "inanimate" 3.0445224
"178" "NP" "give" "animate" "inanimate" 1.6094379
"179" "NP" "grant" "animate" "inanimate" 2.3978953
"180" "NP" "give" "animate" "inanimate" 2.944439
"181" "NP" "award" "animate" "inanimate" 1.6094379
"182" "NP" "charge" "animate" "inanimate" 0
"183" "NP" "give" "animate" "inanimate" 2.7725887
"184" "NP" "give" "inanimate" "inanimate" 2.1972246
"185" "NP" "give" "inanimate" "inanimate" 0.6931472
"186" "NP" "give" "animate" "inanimate" 2.5649494
"187" "NP" "give" "animate" "inanimate" 1.6094379
"188" "NP" "give" "animate" "inanimate" 1.6094379
"189" "NP" "give" "inanimate" "inanimate" 0.6931472
"190" "NP" "allow" "inanimate" "inanimate" 2.0794415
"191" "NP" "reimburse" "animate" "inanimate" 1.6094379
"192" "NP" "give" "animate" "inanimate" 2.3978953
"193" "NP" "deny" "animate" "inanimate" 2.1972246
"194" "NP" "give" "animate" "inanimate" 3.0910425
"195" "NP" "tell" "animate" "inanimate" 3.2580965
"196" "NP" "award" "animate" "inanimate" 2.7725887
"197" "NP" "give" "animate" "inanimate" 3.2188758
"198" "NP" "give" "animate" "inanimate" 2.9957323
"199" "NP" "offer" "animate" "inanimate" 2.3978953
"200" "NP" "pay" "animate" "inanimate" 1.6094379
"201" "NP" "give" "animate" "inanimate" 1.9459101
"202" "NP" "give" "animate" "inanimate" 2.7080502
"203" "NP" "give" "animate" "inanimate" 2.5649494
"204" "NP" "pay" "animate" "inanimate" 1.3862944
"205" "NP" "cost" "animate" "inanimate" 0.6931472
"206" "NP" "pay" "animate" "inanimate" 2.3978953
"207" "NP" "give" "animate" "inanimate" 1.6094379
"208" "NP" "give" "animate" "inanimate" 1.6094379
"209" "NP" "give" "inanimate" "inanimate" 0.6931472
"210" "NP" "give" "animate" "inanimate" 2.3025851
"211" "NP" "allow" "animate" "inanimate" 1.7917595
"212" "NP" "owe" "animate" "inanimate" 1.6094379
"213" "NP" "give" "animate" "inanimate" 3.1354942
"214" "NP" "pay" "animate" "inanimate" 1.0986123
"215" "NP" "grant" "animate" "inanimate" 1.0986123
"216" "NP" "give" "animate" "inanimate" 1.0986123
"217" "NP" "give" "animate" "inanimate" 2.4849066
"218" "NP" "give" "animate" "inanimate" 3.0445224
"219" "NP" "give" "animate" "inanimate" 1.7917595
"220" "NP" "give" "animate" "inanimate" 0.6931472
"221" "NP" "give" "animate" "inanimate" 0
"222" "NP" "pay" "animate" "inanimate" 0.6931472
"223" "NP" "cost" "animate" "inanimate" 1.6094379
"224" "NP" "give" "animate" "inanimate" 1.0986123
"225" "NP" "award" "animate" "inanimate" 0.6931472
"226" "NP" "give" "animate" "inanimate" 1.6094379
"227" "NP" "pay" "animate" "inanimate" 1.0986123
"228" "NP" "give" "animate" "inanimate" 1.9459101
"229" "NP" "give" "inanimate" "inanimate" 1.6094379
"230" "NP" "give" "animate" "inanimate" 2.5649494
"231" "NP" "give" "animate" "inanimate" 3.4011974
"232" "NP" "give" "animate" "inanimate" 1.3862944
"233" "NP" "give" "animate" "inanimate" 1.6094379
"234" "NP" "give" "animate" "inanimate" 1.6094379
"235" "NP" "pay" "animate" "inanimate" 0
"236" "NP" "lend" "animate" "inanimate" 0
"237" "NP" "give" "animate" "inanimate" 1.7917595
"238" "NP" "give" "animate" "inanimate" 3.1354942
"239" "NP" "give" "animate" "inanimate" 1.9459101
"240" "NP" "accord" "animate" "inanimate" 1.6094379
"241" "NP" "give" "animate" "inanimate" 2.1972246
"242" "NP" "give" "animate" "inanimate" 1.6094379
"243" "NP" "will" "animate" "inanimate" 0.6931472
"244" "NP" "wish" "animate" "inanimate" 1.0986123
"245" "NP" "pay" "animate" "inanimate" 2.4849066
"246" "NP" "offer" "animate" "inanimate" 2.5649494
"247" "NP" "offer" "animate" "inanimate" 1.9459101
"248" "NP" "pay" "animate" "inanimate" 0.6931472
"249" "NP" "give" "animate" "inanimate" 1.3862944
"250" "NP" "give" "animate" "inanimate" 2.8332133
"251" "NP" "give" "animate" "inanimate" 1.0986123
"252" "NP" "give" "inanimate" "inanimate" 0.6931472
"253" "NP" "deny" "animate" "inanimate" 2.0794415
"254" "NP" "give" "animate" "inanimate" 2.0794415
"255" "NP" "give" "animate" "inanimate" 1.0986123
"256" "NP" "give" "animate" "inanimate" 2.5649494
"257" "NP" "assure" "animate" "inanimate" 1.0986123
"258" "NP" "give" "animate" "inanimate" 0.6931472
"259" "NP" "cost" "animate" "inanimate" 1.3862944
"260" "NP" "give" "animate" "inanimate" 2.3978953
"261" "NP" "offer" "animate" "inanimate" 2.1972246
"262" "NP" "offer" "animate" "inanimate" 2.8903718
"263" "NP" "offer" "animate" "inanimate" 2.5649494
"264" "NP" "offer" "animate" "inanimate" 2.4849066
"265" "NP" "give" "animate" "inanimate" 1.7917595
"266" "NP" "allow" "animate" "inanimate" 1.0986123
"267" "NP" "mail" "animate" "inanimate" 2.7725887
"268" "NP" "offer" "animate" "inanimate" 2.4849066
"269" "NP" "give" "animate" "inanimate" 1.9459101
"270" "NP" "give" "animate" "inanimate" 0.6931472
"271" "NP" "give" "animate" "inanimate" 2.8903718
"272" "NP" "give" "animate" "inanimate" 2.3978953
"273" "NP" "pay" "animate" "inanimate" 2.8332133
"274" "NP" "give" "animate" "inanimate" 1.3862944
"275" "NP" "send" "animate" "inanimate" 1.0986123
"276" "NP" "give" "animate" "inanimate" 2.5649494
"277" "NP" "send" "animate" "inanimate" 3.4011974
"278" "NP" "give" "animate" "inanimate" 1.0986123
"279" "NP" "pay" "animate" "inanimate" 2.6390573
"280" "NP" "pay" "animate" "inanimate" 0.6931472
"281" "NP" "pay" "animate" "inanimate" 0.6931472
"282" "NP" "give" "animate" "inanimate" 0.6931472
"283" "NP" "bring" "animate" "inanimate" 2.3025851
"284" "NP" "lend" "animate" "inanimate" 0.6931472
"285" "NP" "give" "animate" "inanimate" 1.3862944
"286" "NP" "give" "inanimate" "inanimate" 1.3862944
"287" "NP" "give" "animate" "inanimate" 1.9459101
"288" "NP" "give" "inanimate" "inanimate" 1.0986123
"289" "NP" "grant" "animate" "inanimate" 0.6931472
"290" "NP" "give" "animate" "inanimate" 1.6094379
"291" "NP" "give" "animate" "inanimate" 3.3672958
"292" "NP" "owe" "animate" "inanimate" 2.3025851
"293" "NP" "pay" "animate" "inanimate" 0.6931472
"294" "NP" "give" "animate" "inanimate" 0.6931472
"295" "NP" "give" "animate" "inanimate" 1.0986123
"296" "NP" "give" "animate" "inanimate" 1.9459101
"297" "NP" "bring" "animate" "inanimate" 1.7917595
"298" "NP" "give" "animate" "inanimate" 2.9957323
"299" "NP" "hand" "animate" "inanimate" 0.6931472
"300" "NP" "give" "animate" "inanimate" 2.7725887
"301" "NP" "give" "animate" "inanimate" 2.944439
"302" "NP" "give" "animate" "inanimate" 1.6094379
"303" "NP" "cost" "animate" "inanimate" 1.0986123
"304" "NP" "cost" "animate" "inanimate" 2.1972246
"305" "NP" "give" "animate" "inanimate" 2.3978953
"306" "NP" "give" "animate" "inanimate" 1.3862944
"307" "NP" "give" "animate" "inanimate" 1.7917595
"308" "NP" "promise" "animate" "inanimate" 1.6094379
"309" "NP" "offer" "animate" "inanimate" 0
"310" "NP" "give" "animate" "inanimate" 2.944439
"311" "NP" "promise" "animate" "inanimate" 2.3025851
"312" "NP" "pay" "animate" "inanimate" 0.6931472
"313" "NP" "pay" "animate" "inanimate" 0.6931472
"314" "NP" "give" "animate" "inanimate" 1.9459101
"315" "NP" "give" "animate" "inanimate" 1.9459101
"316" "NP" "give" "animate" "inanimate" 1.7917595
"317" "NP" "give" "animate" "inanimate" 0.6931472
"318" "NP" "deny" "animate" "inanimate" 2.8332133
"319" "NP" "give" "animate" "inanimate" 0.6931472
"320" "NP" "offer" "animate" "inanimate" 2.3025851
"321" "NP" "give" "inanimate" "inanimate" 1.6094379
"322" "NP" "give" "animate" "inanimate" 2.0794415
"323" "NP" "give" "animate" "inanimate" 3.0910425
"324" "NP" "give" "inanimate" "inanimate" 1.6094379
"325" "NP" "offer" "animate" "inanimate" 2.4849066
"326" "NP" "give" "animate" "inanimate" 0.6931472
"327" "NP" "give" "animate" "inanimate" 1.7917595
"328" "NP" "give" "animate" "inanimate" 1.7917595
"329" "NP" "pay" "animate" "inanimate" 1.0986123
"330" "NP" "give" "inanimate" "inanimate" 1.6094379
"331" "NP" "give" "animate" "inanimate" 1.3862944
"332" "NP" "teach" "animate" "inanimate" 2.5649494
"333" "NP" "hand" "animate" "inanimate" 2.0794415
"334" "NP" "give" "animate" "inanimate" 1.9459101
"335" "NP" "give" "animate" "inanimate" 1.0986123
"336" "NP" "promise" "animate" "inanimate" 1.6094379
"337" "NP" "permit" "animate" "inanimate" 1.7917595
"338" "NP" "pay" "animate" "inanimate" 1.7917595
"339" "NP" "bring" "animate" "inanimate" 0
"340" "NP" "give" "animate" "inanimate" 1.9459101
"341" "NP" "give" "animate" "inanimate" 1.6094379
"342" "NP" "give" "animate" "inanimate" 2.0794415
"343" "NP" "pay" "animate" "inanimate" 2.0794415
"344" "NP" "give" "animate" "inanimate" 2.5649494
"345" "NP" "tell" "animate" "inanimate" 1.3862944
"346" "NP" "give" "animate" "inanimate" 1.6094379
"347" "NP" "give" "animate" "inanimate" 0.6931472
"348" "NP" "cost" "animate" "inanimate" 0.6931472
"349" "NP" "pay" "animate" "inanimate" 1.0986123
"350" "NP" "give" "animate" "inanimate" 3.0910425
"351" "NP" "show" "animate" "inanimate" 0.6931472
"352" "NP" "lend" "inanimate" "inanimate" 1.3862944
"353" "NP" "give" "animate" "inanimate" 2.0794415
"354" "NP" "promise" "animate" "inanimate" 2.3025851
"355" "NP" "assess" "animate" "inanimate" 1.6094379
"356" "NP" "give" "animate" "inanimate" 1.7917595
"357" "NP" "give" "animate" "inanimate" 2.1972246
"358" "NP" "give" "animate" "inanimate" 1.6094379
"359" "NP" "charge" "animate" "inanimate" 1.0986123
"360" "NP" "pay_back" "animate" "inanimate" 1.7917595
"361" "NP" "give" "animate" "inanimate" 1.0986123
"362" "NP" "charge" "animate" "inanimate" 2.8903718
"363" "NP" "sell" "animate" "inanimate" 2.0794415
"364" "NP" "show" "animate" "inanimate" 2.1972246
"365" "NP" "give" "inanimate" "inanimate" 0.6931472
"366" "NP" "give" "animate" "inanimate" 1.6094379
"367" "NP" "give" "animate" "inanimate" 0.6931472
"368" "NP" "offer" "animate" "inanimate" 2.4849066
"369" "NP" "pay" "animate" "inanimate" 2.1972246
"370" "NP" "give" "animate" "inanimate" 0.6931472
"371" "NP" "send" "animate" "inanimate" 2.6390573
"372" "NP" "give" "animate" "inanimate" 0.6931472
"373" "NP" "cost" "animate" "inanimate" 1.0986123
"374" "NP" "sell" "animate" "inanimate" 0
"375" "NP" "give" "inanimate" "inanimate" 1.0986123
"376" "NP" "offer" "animate" "inanimate" 2.4849066
"377" "NP" "give" "animate" "inanimate" 1.7917595
"378" "NP" "show" "animate" "inanimate" 1.9459101
"379" "NP" "net" "animate" "inanimate" 1.3862944
"380" "NP" "cost" "animate" "inanimate" 0
"381" "NP" "cost" "animate" "inanimate" 1.6094379
"382" "NP" "give" "animate" "inanimate" 1.3862944
"383" "NP" "give" "animate" "inanimate" 0.6931472
"384" "NP" "give" "animate" "inanimate" 2.5649494
"385" "NP" "offer" "animate" "inanimate" 1.6094379
"386" "NP" "promise" "animate" "inanimate" 2.7725887
"387" "NP" "give" "animate" "inanimate" 2.5649494
"388" "NP" "give" "animate" "inanimate" 1.9459101
"389" "NP" "sell" "animate" "inanimate" 2.7725887
"390" "NP" "lend" "animate" "animate" 0.6931472
"391" "NP" "give" "animate" "inanimate" 1.6094379
"392" "NP" "promise" "animate" "inanimate" 2.7725887
"393" "NP" "give" "animate" "inanimate" 2.6390573
"394" "NP" "allow" "animate" "inanimate" 1.6094379
"395" "NP" "give" "animate" "inanimate" 1.7917595
"396" "NP" "pay" "animate" "inanimate" 1.7917595
"397" "NP" "give" "animate" "inanimate" 1.6094379
"398" "NP" "offer" "animate" "inanimate" 1.6094379
"399" "NP" "give" "animate" "inanimate" 1.7917595
"400" "NP" "give" "animate" "inanimate" 0.6931472
"401" "NP" "give" "animate" "inanimate" 1.7917595
"402" "NP" "give" "animate" "inanimate" 2.1972246
"403" "NP" "give" "inanimate" "inanimate" 2.4849066
"404" "NP" "cost" "animate" "inanimate" 1.0986123
"405" "NP" "send" "animate" "inanimate" 3.3322045
"406" "NP" "cost" "animate" "inanimate" 0
"407" "NP" "cost" "animate" "inanimate" 1.9459101
"408" "NP" "give" "animate" "inanimate" 1.6094379
"409" "NP" "pay" "animate" "inanimate" 0.6931472
"410" "NP" "lend" "animate" "inanimate" 1.0986123
"411" "NP" "give" "animate" "inanimate" 2.8903718
"412" "NP" "give" "animate" "inanimate" 2.4849066
"413" "NP" "give" "animate" "inanimate" 2.5649494
"414" "NP" "offer" "animate" "inanimate" 1.7917595
"415" "NP" "give" "inanimate" "inanimate" 1.7917595
"416" "NP" "tell" "animate" "inanimate" 1.9459101
"417" "NP" "fine" "animate" "inanimate" 0
"418" "NP" "give" "animate" "inanimate" 1.9459101
"419" "NP" "give" "animate" "inanimate" 2.4849066
"420" "NP" "do" "inanimate" "inanimate" 0.6931472
"421" "NP" "bring" "animate" "inanimate" 0.6931472
"422" "NP" "give" "animate" "inanimate" 2.7080502
"423" "NP" "give" "animate" "inanimate" 2.7725887
"424" "NP" "cost" "animate" "inanimate" 1.3862944
"425" "NP" "give" "animate" "inanimate" 0
"426" "NP" "give" "animate" "inanimate" 2.7080502
"427" "NP" "give" "animate" "inanimate" 2.5649494
"428" "NP" "give" "animate" "inanimate" 0.6931472
"429" "NP" "give" "animate" "inanimate" 2.5649494
"430" "NP" "give" "animate" "inanimate" 1.6094379
"431" "NP" "give" "animate" "inanimate" 2.4849066
"432" "NP" "send" "animate" "inanimate" 2.7725887
"433" "NP" "cost" "animate" "inanimate" 0
"434" "NP" "give" "animate" "inanimate" 2.4849066
"435" "NP" "give" "animate" "inanimate" 1.9459101
"436" "NP" "give" "animate" "inanimate" 1.7917595
"437" "NP" "guarantee" "animate" "inanimate" 1.0986123
"438" "NP" "offer" "animate" "inanimate" 1.0986123
"439" "NP" "give" "animate" "inanimate" 1.9459101
"440" "NP" "give" "animate" "inanimate" 1.9459101
"441" "NP" "give" "animate" "inanimate" 2.3025851
"442" "NP" "give" "animate" "inanimate" 2.6390573
"443" "NP" "give" "inanimate" "inanimate" 1.0986123
"444" "NP" "give" "animate" "inanimate" 0.6931472
"445" "NP" "give" "animate" "inanimate" 2.5649494
"446" "NP" "give" "animate" "inanimate" 0.6931472
"447" "NP" "give" "animate" "inanimate" 2.0794415
"448" "NP" "give" "animate" "inanimate" 3.2958369
"449" "NP" "give" "animate" "inanimate" 2.3978953
"450" "NP" "give" "animate" "inanimate" 1.9459101
"451" "NP" "give" "animate" "inanimate" 2.3025851
"452" "NP" "give" "animate" "inanimate" 1.0986123
"453" "NP" "owe" "animate" "inanimate" 1.0986123
"454" "NP" "send" "animate" "inanimate" 3.1354942
"455" "NP" "give" "animate" "inanimate" 3.2580965
"456" "NP" "give" "animate" "inanimate" 1.3862944
"457" "NP" "pay" "animate" "inanimate" 1.0986123
"458" "NP" "vote" "animate" "inanimate" 2.8332133
"459" "NP" "cost" "animate" "inanimate" 0.6931472
"460" "NP" "give" "animate" "inanimate" 2.3978953
"461" "NP" "send" "animate" "inanimate" 2.0794415
"462" "NP" "give" "animate" "inanimate" 2.4849066
"463" "NP" "grant" "animate" "inanimate" 1.0986123
"464" "NP" "give" "animate" "inanimate" 2.5649494
"465" "NP" "cost" "animate" "inanimate" 1.6094379
"466" "NP" "give" "animate" "inanimate" 3.4657359
"467" "NP" "cost" "animate" "inanimate" 1.3862944
"468" "NP" "give" "animate" "inanimate" 0.6931472
"469" "NP" "give" "animate" "inanimate" 2.6390573
"470" "NP" "cost" "animate" "inanimate" 2.1972246
"471" "NP" "pay" "animate" "inanimate" 2.3978953
"472" "NP" "give" "animate" "inanimate" 2.3025851
"473" "NP" "offer" "animate" "inanimate" 1.0986123
"474" "NP" "pay" "animate" "inanimate" 1.3862944
"475" "NP" "offer" "animate" "inanimate" 1.9459101
"476" "NP" "refuse" "animate" "inanimate" 1.0986123
"477" "NP" "give" "animate" "inanimate" 2.0794415
"478" "NP" "fine" "animate" "inanimate" 0
"479" "NP" "grant" "animate" "inanimate" 1.7917595
"480" "NP" "give" "animate" "inanimate" 2.6390573
"481" "NP" "give" "animate" "inanimate" 1.9459101
"482" "NP" "cost" "animate" "inanimate" 1.6094379
"483" "NP" "hand" "animate" "inanimate" 0.6931472
"484" "NP" "do" "animate" "inanimate" 1.0986123
"485" "NP" "tell" "animate" "inanimate" 0.6931472
"486" "NP" "give" "animate" "inanimate" 2.4849066
"487" "NP" "offer" "animate" "inanimate" 1.7917595
"488" "NP" "give" "animate" "inanimate" 0.6931472
"489" "NP" "feed" "animate" "inanimate" 1.7917595
"490" "NP" "give" "animate" "inanimate" 2.4849066
"491" "NP" "give" "animate" "inanimate" 0.6931472
"492" "NP" "give" "animate" "inanimate" 1.7917595
"493" "NP" "sell" "animate" "inanimate" 2.3025851
"494" "NP" "give" "animate" "inanimate" 1.7917595
"495" "NP" "give" "animate" "inanimate" 2.7080502
"496" "NP" "give" "animate" "inanimate" 2.6390573
"497" "NP" "give" "animate" "inanimate" 1.7917595
"498" "NP" "give" "animate" "inanimate" 3.4965076
"499" "NP" "give" "animate" "inanimate" 2.3025851
"500" "NP" "give" "animate" "inanimate" 1.3862944
"501" "NP" "lend" "animate" "inanimate" 1.3862944
"502" "NP" "give" "animate" "inanimate" 1.0986123
"503" "NP" "give" "animate" "inanimate" 3.0445224
"504" "NP" "cost" "animate" "inanimate" 2.4849066
"505" "NP" "permit" "animate" "inanimate" 1.7917595
"506" "NP" "give" "animate" "animate" 1.9459101
"507" "NP" "give" "animate" "inanimate" 1.9459101
"508" "NP" "pay" "animate" "inanimate" 2.944439
